timestamp,signal
2022-03-28T09:49:31.043576+02:00,12
2022-03-28T09:49:31.043986+02:00,-10
2022-03-28T09:49:31.044271+02:00,-19
2022-03-28T09:49:31.044548+02:00,-4
2022-03-28T09:49:31.044819+02:00,8
2022-03-28T09:49:31.045095+02:00,-1
2022-03-28T09:49:31.045367+02:00,-13
2022-03-28T09:49:31.045770+02:00,-2
2022-03-28T09:49:31.046145+02:00,19
2022-03-28T09:49:31.046481+02:00,19
2022-03-28T09:49:31.046768+02:00,5
2022-03-28T09:49:31.047047+02:00,-1
2022-03-28T09:49:31.047321+02:00,17
2022-03-28T09:49:31.047595+02:00,45
2022-03-28T09:49:31.047866+02:00,64
2022-03-28T09:49:31.048137+02:00,50
2022-03-28T09:49:31.048469+02:00,18
2022-03-28T09:49:31.048755+02:00,-4
2022-03-28T09:49:31.049029+02:00,7
2022-03-28T09:49:31.049502+02:00,24
2022-03-28T09:49:31.050043+02:00,19
2022-03-28T09:49:31.050512+02:00,-1
2022-03-28T09:49:31.050927+02:00,5
2022-03-28T09:49:31.051292+02:00,34
2022-03-28T09:49:31.051711+02:00,57
2022-03-28T09:49:31.052109+02:00,65
2022-03-28T09:49:31.052491+02:00,55
2022-03-28T09:49:31.052844+02:00,53
2022-03-28T09:49:31.053186+02:00,69
2022-03-28T09:49:31.053597+02:00,74
2022-03-28T09:49:31.053985+02:00,65
2022-03-28T09:49:31.054345+02:00,40
2022-03-28T09:49:31.054949+02:00,25
2022-03-28T09:49:31.055399+02:00,26
2022-03-28T09:49:31.055917+02:00,42
2022-03-28T09:49:31.056432+02:00,65
2022-03-28T09:49:31.056873+02:00,61
2022-03-28T09:49:31.057305+02:00,50
2022-03-28T09:49:31.057712+02:00,51
2022-03-28T09:49:31.058101+02:00,61
2022-03-28T09:49:31.058579+02:00,66
2022-03-28T09:49:31.059067+02:00,60
2022-03-28T09:49:31.059657+02:00,57
2022-03-28T09:49:31.060247+02:00,54
2022-03-28T09:49:31.061047+02:00,58
2022-03-28T09:49:31.062089+02:00,65
2022-03-28T09:49:31.063243+02:00,60
2022-03-28T09:49:31.063798+02:00,54
2022-03-28T09:49:31.064353+02:00,55
2022-03-28T09:49:31.065380+02:00,68
2022-03-28T09:49:31.066017+02:00,72
2022-03-28T09:49:31.066526+02:00,61
2022-03-28T09:49:31.067071+02:00,42
2022-03-28T09:49:31.067577+02:00,36
2022-03-28T09:49:31.067871+02:00,42
2022-03-28T09:49:31.068143+02:00,41
2022-03-28T09:49:31.068414+02:00,22
2022-03-28T09:49:31.068815+02:00,0
2022-03-28T09:49:31.069101+02:00,-14
2022-03-28T09:49:31.069380+02:00,-4
2022-03-28T09:49:31.069655+02:00,20
2022-03-28T09:49:31.069928+02:00,34
2022-03-28T09:49:31.070200+02:00,28
2022-03-28T09:49:31.070475+02:00,24
2022-03-28T09:49:31.070800+02:00,38
2022-03-28T09:49:31.071168+02:00,74
2022-03-28T09:49:31.071446+02:00,99
2022-03-28T09:49:31.071718+02:00,87
2022-03-28T09:49:31.072035+02:00,65
2022-03-28T09:49:31.072480+02:00,70
2022-03-28T09:49:31.072769+02:00,98
2022-03-28T09:49:31.073045+02:00,106
2022-03-28T09:49:31.073432+02:00,82
