timestamp,signal
2022-03-28T09:53:31.340103+02:00,-45
2022-03-28T09:53:31.340469+02:00,-25
2022-03-28T09:53:31.340849+02:00,0
2022-03-28T09:53:31.341094+02:00,24
2022-03-28T09:53:31.341326+02:00,32
2022-03-28T09:53:31.341555+02:00,21
2022-03-28T09:53:31.341784+02:00,-1
2022-03-28T09:53:31.342012+02:00,-9
2022-03-28T09:53:31.342361+02:00,8
2022-03-28T09:53:31.342599+02:00,25
2022-03-28T09:53:31.342827+02:00,19
2022-03-28T09:53:31.343061+02:00,16
2022-03-28T09:53:31.343298+02:00,28
2022-03-28T09:53:31.343529+02:00,26
2022-03-28T09:53:31.343758+02:00,18
2022-03-28T09:53:31.343987+02:00,23
2022-03-28T09:53:31.344215+02:00,27
2022-03-28T09:53:31.344450+02:00,26
2022-03-28T09:53:31.344685+02:00,36
2022-03-28T09:53:31.344909+02:00,50
2022-03-28T09:53:31.345238+02:00,59
2022-03-28T09:53:31.345476+02:00,64
2022-03-28T09:53:31.345694+02:00,59
2022-03-28T09:53:31.345923+02:00,55
2022-03-28T09:53:31.346150+02:00,66
2022-03-28T09:53:31.346456+02:00,77
2022-03-28T09:53:31.346699+02:00,85
2022-03-28T09:53:31.346935+02:00,98
2022-03-28T09:53:31.347171+02:00,101
2022-03-28T09:53:31.347397+02:00,88
2022-03-28T09:53:31.347622+02:00,100
2022-03-28T09:53:31.347844+02:00,120
2022-03-28T09:53:31.348075+02:00,134
2022-03-28T09:53:31.348443+02:00,145
2022-03-28T09:53:31.348686+02:00,120
2022-03-28T09:53:31.348916+02:00,100
2022-03-28T09:53:31.349147+02:00,105
2022-03-28T09:53:31.349374+02:00,113
2022-03-28T09:53:31.349599+02:00,117
2022-03-28T09:53:31.349827+02:00,130
2022-03-28T09:53:31.350054+02:00,124
2022-03-28T09:53:31.350284+02:00,113
2022-03-28T09:53:31.350511+02:00,115
2022-03-28T09:53:31.350774+02:00,124
2022-03-28T09:53:31.351000+02:00,136
2022-03-28T09:53:31.351316+02:00,156
2022-03-28T09:53:31.351554+02:00,181
2022-03-28T09:53:31.351785+02:00,182
2022-03-28T09:53:31.352040+02:00,164
2022-03-28T09:53:31.352275+02:00,151
2022-03-28T09:53:31.352574+02:00,154
2022-03-28T09:53:31.353422+02:00,160
2022-03-28T09:53:31.353842+02:00,146
2022-03-28T09:53:31.354171+02:00,109
2022-03-28T09:53:31.354451+02:00,81
2022-03-28T09:53:31.354751+02:00,75
2022-03-28T09:53:31.355069+02:00,72
2022-03-28T09:53:31.355368+02:00,66
2022-03-28T09:53:31.355786+02:00,59
2022-03-28T09:53:31.356123+02:00,54
2022-03-28T09:53:31.356510+02:00,52
2022-03-28T09:53:31.356839+02:00,38
2022-03-28T09:53:31.357130+02:00,-13
2022-03-28T09:53:31.357408+02:00,-42
2022-03-28T09:53:31.357731+02:00,-27
2022-03-28T09:53:31.358068+02:00,-14
2022-03-28T09:53:31.358405+02:00,-2
2022-03-28T09:53:31.358742+02:00,12
2022-03-28T09:53:31.359016+02:00,23
2022-03-28T09:53:31.359272+02:00,34
2022-03-28T09:53:31.359802+02:00,18
2022-03-28T09:53:31.360364+02:00,16
2022-03-28T09:53:31.361175+02:00,29
2022-03-28T09:53:31.361576+02:00,36
2022-03-28T09:53:31.361901+02:00,39
2022-03-28T09:53:31.362267+02:00,50
2022-03-28T09:53:31.362645+02:00,55
2022-03-28T09:53:31.362928+02:00,66
2022-03-28T09:53:31.363162+02:00,54
2022-03-28T09:53:31.363388+02:00,27
2022-03-28T09:53:31.363613+02:00,45
2022-03-28T09:53:31.363838+02:00,76
2022-03-28T09:53:31.364062+02:00,81
2022-03-28T09:53:31.364426+02:00,71
2022-03-28T09:53:31.364689+02:00,56
2022-03-28T09:53:31.364958+02:00,42
2022-03-28T09:53:31.365220+02:00,43
2022-03-28T09:53:31.365479+02:00,64
2022-03-28T09:53:31.365739+02:00,91
2022-03-28T09:53:31.366003+02:00,84
